// ==================================== Proxy ====================================

new entry "GOON_MADNESS_5E_SHORTTERM_HOMICIDAL"
type "StatusData"
data "StatusType" "BOOST"
// Short-term Madness: Homicidal
data "DisplayName" "h1c725ee6g9b92g48a7gb832g2df0007557c9"
// 
data "Description" "h3060b0c1g6be8g498aga43ag7ab3b8aeb3f5"
data "DescriptionParams" ""
data "TooltipSave" "Wisdom"
data "Icon" "statIcons_Madness"
data "FormatColor" "Red"
data "StatusPropertyFlags" "ApplyToDead;IgnoreResting"
//
data "StackId" "GOON_MADNESS_5E_SHORTTERM_HOMICIDAL"
data "StackPriority" ""
data "StackType" "Overwrite"
data "OnApplyConditions" "Goon_InjuryEligibilityCheck(context.Source)"
data "OnApplyFunctors" "IF((not HasStatus('CALM_EMOTIONS')) and (not HasPassive('MindlessRage') and not HasStatus('SG_Rage'))):ApplyStatus(GOON_HOMICIDAL_SHORTTERM_MADNESS_TECHNICAL,100,-1)"
data "RemoveConditions" "(not HasStatus('GOON_INJURY_GRIT_GLORY_SHORTTERM_MADNESS') or HasStatus('CALM_EMOTIONS') or (HasPassive('MindlessRage') and HasStatus('SG_Rage')))"
data "RemoveEvents" "OnStatusApplied;OnStatusRemoved"
data "Passives" "Goon_Shortterm_Madness_5E_Removal_Passive;Goon_Homicidal_Shortterm_Madness_Passive"

// Technical passive for determining if the madness effects should be active
new entry "Goon_Homicidal_Shortterm_Madness_Passive"
type "PassiveData"
data "Properties" "IsHidden"
//
data "StatsFunctors" "IF(context.HasContextFlag(StatsFunctorContext.OnStatusApplied)):RemoveStatus(GOON_MADNESS_5E_SHORTTERM_HOMICIDAL);IF(context.HasContextFlag(StatsFunctorContext.OnStatusRemoved)):ApplyStatus(GOON_HOMICIDAL_SHORTTERM_MADNESS_TECHNICAL,100,-1)"
data "StatsFunctorContext" "OnStatusApplied;OnStatusRemoved"
data "Conditions" "(context.HasContextFlag(StatsFunctorContext.OnStatusApplied) and StatusId('CALM_EMOTIONS') or (HasPassive('MindlessRage') and StatusId('SG_Rage'))) or (context.HasContextFlag(StatsFunctorContext.OnStatusRemoved) and StatusId('CALM_EMOTIONS') or StatusId('SG_Rage'))"

// ==================================== Madness ====================================

new entry "GOON_HOMICIDAL_SHORTTERM_MADNESS_TECHNICAL"
type "StatusData"
data "StatusType" "BOOST"
// Short-term Madness: Homicidal
data "DisplayName" "h1c725ee6g9b92g48a7gb832g2df0007557c9"
// 
data "Description" "h3060b0c1g6be8g498aga43ag7ab3b8aeb3f5"
data "DescriptionParams" ""
data "TooltipSave" "Wisdom"
data "Icon" "statIcons_Madness"
data "FormatColor" "Red"
data "StatusPropertyFlags" "DisableOverhead;DisableCombatlog;DisablePortraitIndicator;ApplyToDead;IgnoreResting;LoseControl;OverheadOnTurn;InitiateCombat;BringIntoCombat"
//
data "StackId" "GOON_HOMICIDAL_SHORTTERM_MADNESS_TECHNICAL"
data "StackPriority" ""
data "StackType" "Overwrite"
data "AuraRadius" ""
data "AuraStatuses" ""
// A calm emotions spell can suppress the effects of madness
data "Boosts" "AiArchetypeOverride(madness,99)"
data "OnApplyFunctors" ""
data "OnRemoveFunctors" ""
data "RemoveConditions" "not HasStatus('GOON_MADNESS_5E_SHORTTERM_HOMICIDAL')"
data "RemoveEvents" "OnStatusRemoved"
data "TickType" ""
data "TickFunctors" ""
data "StatusGroups" "SG_Mad"
data "Passives" "Goon_Shortterm_Madness_5E_Removal_Passive;Goon_Homicidal_Shortterm_Madness_Technical_Passive"
//
data "AnimationStart" ""
data "AnimationLoop" ""
data "AnimationEnd" ""
data "StillAnimationType" "Mental"
data "StillAnimationPriority" "Mental"
data "UseLyingPickingState" ""
data "SoundVocalStart" "SHOUT"
data "SoundVocalLoop" ""
data "SoundVocalEnd" ""
data "SoundStart" ""
data "SoundLoop" ""
data "SoundStop" ""
data "FreezeTime" ""
data "SplatterBloodAmount" "0.0"
data "SplatterDirtAmount" "0.0"
data "SplatterSweatAmount" "1.0"
data "Sheathing" ""
data "ApplyEffect" ""
data "StatusEffect" "127d9e0b-b235-4e98-8037-f1353b554b47"
data "MaterialType" ""
data "MaterialApplyBody" ""
data "MaterialApplyArmor" ""
data "MaterialApplyWeapon" ""
data "MaterialApplyNormalMap" ""
data "MaterialFadeAmount" ""
data "MaterialParameters" ""

// Technical passive for saving throws
new entry "Goon_Homicidal_Shortterm_Madness_Technical_Passive"
type "PassiveData"
data "Properties" "IsHidden"
//
data "StatsFunctors" "ApplyStatus(GOON_HOMICIDAL_REMOVAL_TECHNICAL,100,0)"
data "StatsFunctorContext" "OnDamaged;OnTurn"
data "Conditions" ""

new entry "GOON_HOMICIDAL_REMOVAL_TECHNICAL"
type "StatusData"
data "StatusType" "BOOST"
// Short-term Madness: Homicidal
data "DisplayName" "h1c725ee6g9b92g48a7gb832g2df0007557c9"
// 
data "Description" "h3060b0c1g6be8g498aga43ag7ab3b8aeb3f5"
data "DescriptionParams" ""
data "TooltipSave" "Wisdom"
data "Icon" "statIcons_Madness"
data "FormatColor" "Red"
data "StatusPropertyFlags" "DisableOverhead;DisableCombatlog;DisablePortraitIndicator"
//
data "OnApplyFunctors" "IF(SavingThrow(Ability.Wisdom, 20)):RemoveStatus(GOON_MADNESS_5E_SHORTTERM_HOMICIDAL)"
